,artist_id,artist,image,genres,popularity,link,followers
24,3whuHq0yGx60atvA2RCVRW,Olly Murs,https://i.scdn.co/image/ab6761610000e5eb0f69adcd21b766fa18e3c3db,"['dance pop', 'pop', 'talent show']",65,https://api.spotify.com/v1/artists/3whuHq0yGx60atvA2RCVRW,3311651
25,5DSVjHy2YWufmRUHBM3PLX,RAN,https://i.scdn.co/image/ab6761610000e5eb2ed4c99ed7bc4e88ba88ba9b,['indonesian pop'],55,https://api.spotify.com/v1/artists/5DSVjHy2YWufmRUHBM3PLX,931880
26,5kjFzBMHeoAx9xksFSwfUW,yuji,https://i.scdn.co/image/ab6761610000e5eb08ec09d087402b466c8e6710,[],64,https://api.spotify.com/v1/artists/5kjFzBMHeoAx9xksFSwfUW,145860
27,5L1lO4eRHmJ7a0Q6csE5cT,LISA,https://i.scdn.co/image/ab6761610000e5eb8543b9b2b5d153d37c46606d,['k-pop'],77,https://api.spotify.com/v1/artists/5L1lO4eRHmJ7a0Q6csE5cT,4679970
28,14scxEoUN7Dcx1m4EQ7oHe,Ashley O,https://i.scdn.co/image/ab67616d0000b2733b2d2706cac8ec23c2207839,[],43,https://api.spotify.com/v1/artists/14scxEoUN7Dcx1m4EQ7oHe,60224
29,6C4irZ60X8G7UimMRQiCcg,X1,https://i.scdn.co/image/ab6761610000e5eb45204fa68d0b6d26ea6ca0ef,['k-pop'],39,https://api.spotify.com/v1/artists/6C4irZ60X8G7UimMRQiCcg,354229
30,56OjNTX2bkrdGcB0staUOV,A-Wall,https://i.scdn.co/image/ab6761610000e5eb31132186d2ea520643e71168,['bedroom pop'],56,https://api.spotify.com/v1/artists/56OjNTX2bkrdGcB0staUOV,56576
31,5he5w2lnU9x7JFhnwcekXX,Skrillex,https://i.scdn.co/image/ab6761610000e5eb61f92702ca14484aa263a931,"['brostep', 'complextro', 'edm', 'electro', 'pop dance']",77,https://api.spotify.com/v1/artists/5he5w2lnU9x7JFhnwcekXX,8199497
32,7LISjRSYAaiWJsuqY4wez7,Ahmad Abdul,https://i.scdn.co/image/ab6761610000e5eb4a9740d4e90856512df53c8c,['indonesian pop'],37,https://api.spotify.com/v1/artists/7LISjRSYAaiWJsuqY4wez7,41652
33,163tK9Wjr9P9DmM0AVK7lm,Lorde,https://i.scdn.co/image/ab6761610000e5ebc4902f080d3620b3e6da80c3,"['art pop', 'metropopolis', 'nz pop', 'pop']",75,https://api.spotify.com/v1/artists/163tK9Wjr9P9DmM0AVK7lm,9962433
34,5zctI4wO9XSKS8XwcnqEHk,Lil Mosey,https://i.scdn.co/image/ab6761610000e5ebe1ca9dbff03bb74709e93247,"['melodic rap', 'rap conscient']",69,https://api.spotify.com/v1/artists/5zctI4wO9XSKS8XwcnqEHk,5120365
35,4hhdYMXYDAkG6Cz6j8ogN6,Aditya,https://i.scdn.co/image/ab67616d0000b2739767d2cd10596d73acaa4770,[],25,https://api.spotify.com/v1/artists/4hhdYMXYDAkG6Cz6j8ogN6,44909
36,0DxeaLnv6SyYk2DOqkLO8c,MAGIC!,https://i.scdn.co/image/ab6761610000e5eb6322d3011e177875f2028dab,"['pop', 'reggae fusion']",66,https://api.spotify.com/v1/artists/0DxeaLnv6SyYk2DOqkLO8c,1317819
37,4bYPcJP5jwMhSivRcqie2n,Adam Levine,https://i.scdn.co/image/ab6761610000e5eb4a61c7615c8125e832ffc32c,['deep talent show'],71,https://api.spotify.com/v1/artists/4bYPcJP5jwMhSivRcqie2n,996430
38,4u5smJBskI6Adzv08PuiUP,Kiiara,https://i.scdn.co/image/ab6761610000e5eb3a50ec3bc61d904970f4dd1b,"['alt z', 'electropop']",59,https://api.spotify.com/v1/artists/4u5smJBskI6Adzv08PuiUP,911367
39,7I3bkknknQkIiatWiupQgD,Beach Weather,https://i.scdn.co/image/ab6761610000e5ebed9ce2779a99efc01b4f918c,[],69,https://api.spotify.com/v1/artists/7I3bkknknQkIiatWiupQgD,385350
